Product,Feature,Milestone,Acceptance Signal,Owner Boundary
TrainArr,program type selection,M6,"program type selection has database/API/UI or integration evidence, tests, audit logging where applicable, and no ownership-boundary violation.","Training programs, requirements, assignments, evidence, signoffs, evaluations, qualifications, publication to StaffArr."
TrainArr,program versioning,M6,"program versioning has database/API/UI or integration evidence, tests, audit logging where applicable, and no ownership-boundary violation.","Training programs, requirements, assignments, evidence, signoffs, evaluations, qualifications, publication to StaffArr."
TrainArr,draft/review/publish lifecycle,M6,"draft/review/publish lifecycle has database/API/UI or integration evidence, tests, audit logging where applicable, and no ownership-boundary violation.","Training programs, requirements, assignments, evidence, signoffs, evaluations, qualifications, publication to StaffArr."
TrainArr,requirement mapping,M6,"requirement mapping has database/API/UI or integration evidence, tests, audit logging where applicable, and no ownership-boundary violation.","Training programs, requirements, assignments, evidence, signoffs, evaluations, qualifications, publication to StaffArr."
TrainArr,applicability builder,M6,"applicability builder has database/API/UI or integration evidence, tests, audit logging where applicable, and no ownership-boundary violation.","Training programs, requirements, assignments, evidence, signoffs, evaluations, qualifications, publication to StaffArr."
TrainArr,step builder,M6,"step builder has database/API/UI or integration evidence, tests, audit logging where applicable, and no ownership-boundary violation.","Training programs, requirements, assignments, evidence, signoffs, evaluations, qualifications, publication to StaffArr."
TrainArr,conditional branching,M6,"conditional branching has database/API/UI or integration evidence, tests, audit logging where applicable, and no ownership-boundary violation.","Training programs, requirements, assignments, evidence, signoffs, evaluations, qualifications, publication to StaffArr."
TrainArr,completion rule builder,M6,"completion rule builder has database/API/UI or integration evidence, tests, audit logging where applicable, and no ownership-boundary violation.","Training programs, requirements, assignments, evidence, signoffs, evaluations, qualifications, publication to StaffArr."
TrainArr,result builder,M6,"result builder has database/API/UI or integration evidence, tests, audit logging where applicable, and no ownership-boundary violation.","Training programs, requirements, assignments, evidence, signoffs, evaluations, qualifications, publication to StaffArr."
TrainArr,publish review,M6,"publish review has database/API/UI or integration evidence, tests, audit logging where applicable, and no ownership-boundary violation.","Training programs, requirements, assignments, evidence, signoffs, evaluations, qualifications, publication to StaffArr."
TrainArr,assignment engine,M6,"assignment engine has database/API/UI or integration evidence, tests, audit logging where applicable, and no ownership-boundary violation.","Training programs, requirements, assignments, evidence, signoffs, evaluations, qualifications, publication to StaffArr."
TrainArr,assignment reasons,M6,"assignment reasons has database/API/UI or integration evidence, tests, audit logging where applicable, and no ownership-boundary violation.","Training programs, requirements, assignments, evidence, signoffs, evaluations, qualifications, publication to StaffArr."
TrainArr,trainee completion flow,M6,"trainee completion flow has database/API/UI or integration evidence, tests, audit logging where applicable, and no ownership-boundary violation.","Training programs, requirements, assignments, evidence, signoffs, evaluations, qualifications, publication to StaffArr."
TrainArr,training attempts,M6,"training attempts has database/API/UI or integration evidence, tests, audit logging where applicable, and no ownership-boundary violation.","Training programs, requirements, assignments, evidence, signoffs, evaluations, qualifications, publication to StaffArr."
TrainArr,evidence upload,M6,"evidence upload has database/API/UI or integration evidence, tests, audit logging where applicable, and no ownership-boundary violation.","Training programs, requirements, assignments, evidence, signoffs, evaluations, qualifications, publication to StaffArr."
TrainArr,evidence verification,M6,"evidence verification has database/API/UI or integration evidence, tests, audit logging where applicable, and no ownership-boundary violation.","Training programs, requirements, assignments, evidence, signoffs, evaluations, qualifications, publication to StaffArr."
TrainArr,trainer signoff,M6,"trainer signoff has database/API/UI or integration evidence, tests, audit logging where applicable, and no ownership-boundary violation.","Training programs, requirements, assignments, evidence, signoffs, evaluations, qualifications, publication to StaffArr."
TrainArr,evaluator signoff,M6,"evaluator signoff has database/API/UI or integration evidence, tests, audit logging where applicable, and no ownership-boundary violation.","Training programs, requirements, assignments, evidence, signoffs, evaluations, qualifications, publication to StaffArr."
TrainArr,supervisor approval,M6,"supervisor approval has database/API/UI or integration evidence, tests, audit logging where applicable, and no ownership-boundary violation.","Training programs, requirements, assignments, evidence, signoffs, evaluations, qualifications, publication to StaffArr."
TrainArr,quiz/test steps,M6,"quiz/test steps has database/API/UI or integration evidence, tests, audit logging where applicable, and no ownership-boundary violation.","Training programs, requirements, assignments, evidence, signoffs, evaluations, qualifications, publication to StaffArr."
TrainArr,practical evaluation steps,M6,"practical evaluation steps has database/API/UI or integration evidence, tests, audit logging where applicable, and no ownership-boundary violation.","Training programs, requirements, assignments, evidence, signoffs, evaluations, qualifications, publication to StaffArr."
TrainArr,remediation workflow,M6,"remediation workflow has database/API/UI or integration evidence, tests, audit logging where applicable, and no ownership-boundary violation.","Training programs, requirements, assignments, evidence, signoffs, evaluations, qualifications, publication to StaffArr."
TrainArr,recertification workflow,M6,"recertification workflow has database/API/UI or integration evidence, tests, audit logging where applicable, and no ownership-boundary violation.","Training programs, requirements, assignments, evidence, signoffs, evaluations, qualifications, publication to StaffArr."
TrainArr,qualification issue,M6,"qualification issue has database/API/UI or integration evidence, tests, audit logging where applicable, and no ownership-boundary violation.","Training programs, requirements, assignments, evidence, signoffs, evaluations, qualifications, publication to StaffArr."
TrainArr,qualification suspend,M6,"qualification suspend has database/API/UI or integration evidence, tests, audit logging where applicable, and no ownership-boundary violation.","Training programs, requirements, assignments, evidence, signoffs, evaluations, qualifications, publication to StaffArr."
TrainArr,qualification revoke,M6,"qualification revoke has database/API/UI or integration evidence, tests, audit logging where applicable, and no ownership-boundary violation.","Training programs, requirements, assignments, evidence, signoffs, evaluations, qualifications, publication to StaffArr."
TrainArr,qualification expire,M6,"qualification expire has database/API/UI or integration evidence, tests, audit logging where applicable, and no ownership-boundary violation.","Training programs, requirements, assignments, evidence, signoffs, evaluations, qualifications, publication to StaffArr."
TrainArr,StaffArr publication,M10,"StaffArr publication has database/API/UI or integration evidence, tests, audit logging where applicable, and no ownership-boundary violation.","Training programs, requirements, assignments, evidence, signoffs, evaluations, qualifications, publication to StaffArr."
TrainArr,StaffArr acknowledgement tracking,M10,"StaffArr acknowledgement tracking has database/API/UI or integration evidence, tests, audit logging where applicable, and no ownership-boundary violation.","Training programs, requirements, assignments, evidence, signoffs, evaluations, qualifications, publication to StaffArr."
TrainArr,authorization check API,M10,"authorization check API has database/API/UI or integration evidence, tests, audit logging where applicable, and no ownership-boundary violation.","Training programs, requirements, assignments, evidence, signoffs, evaluations, qualifications, publication to StaffArr."
TrainArr,batch qualification checks,M10,"batch qualification checks has database/API/UI or integration evidence, tests, audit logging where applicable, and no ownership-boundary violation.","Training programs, requirements, assignments, evidence, signoffs, evaluations, qualifications, publication to StaffArr."
TrainArr,training matrix,M6,"training matrix has database/API/UI or integration evidence, tests, audit logging where applicable, and no ownership-boundary violation.","Training programs, requirements, assignments, evidence, signoffs, evaluations, qualifications, publication to StaffArr."
TrainArr,citation attachment,M10,"citation attachment has database/API/UI or integration evidence, tests, audit logging where applicable, and no ownership-boundary violation.","Training programs, requirements, assignments, evidence, signoffs, evaluations, qualifications, publication to StaffArr."
TrainArr,rule-pack requirement intake,M10,"rule-pack requirement intake has database/API/UI or integration evidence, tests, audit logging where applicable, and no ownership-boundary violation.","Training programs, requirements, assignments, evidence, signoffs, evaluations, qualifications, publication to StaffArr."
TrainArr,rule change impact,M10,"rule change impact has database/API/UI or integration evidence, tests, audit logging where applicable, and no ownership-boundary violation.","Training programs, requirements, assignments, evidence, signoffs, evaluations, qualifications, publication to StaffArr."
TrainArr,person training history,M12,"person training history has database/API/UI or integration evidence, tests, audit logging where applicable, and no ownership-boundary violation.","Training programs, requirements, assignments, evidence, signoffs, evaluations, qualifications, publication to StaffArr."
TrainArr,training audit package,M12,"training audit package has database/API/UI or integration evidence, tests, audit logging where applicable, and no ownership-boundary violation.","Training programs, requirements, assignments, evidence, signoffs, evaluations, qualifications, publication to StaffArr."
TrainArr,notification settings,M12,"notification settings has database/API/UI or integration evidence, tests, audit logging where applicable, and no ownership-boundary violation.","Training programs, requirements, assignments, evidence, signoffs, evaluations, qualifications, publication to StaffArr."
TrainArr,integration settings,M6,"integration settings has database/API/UI or integration evidence, tests, audit logging where applicable, and no ownership-boundary violation.","Training programs, requirements, assignments, evidence, signoffs, evaluations, qualifications, publication to StaffArr."
TrainArr,expiration scanning worker,M12,"expiration scanning worker has database/API/UI or integration evidence, tests, audit logging where applicable, and no ownership-boundary violation.","Training programs, requirements, assignments, evidence, signoffs, evaluations, qualifications, publication to StaffArr."
TrainArr,recertification assignment worker,M12,"recertification assignment worker has database/API/UI or integration evidence, tests, audit logging where applicable, and no ownership-boundary violation.","Training programs, requirements, assignments, evidence, signoffs, evaluations, qualifications, publication to StaffArr."
TrainArr,qualification recalculation worker,M12,"qualification recalculation worker has database/API/UI or integration evidence, tests, audit logging where applicable, and no ownership-boundary violation.","Training programs, requirements, assignments, evidence, signoffs, evaluations, qualifications, publication to StaffArr."
TrainArr,StaffArr publish retry worker,M12,"StaffArr publish retry worker has database/API/UI or integration evidence, tests, audit logging where applicable, and no ownership-boundary violation.","Training programs, requirements, assignments, evidence, signoffs, evaluations, qualifications, publication to StaffArr."
TrainArr,event processing worker,M12,"event processing worker has database/API/UI or integration evidence, tests, audit logging where applicable, and no ownership-boundary violation.","Training programs, requirements, assignments, evidence, signoffs, evaluations, qualifications, publication to StaffArr."
TrainArr,notification dispatch worker,M12,"notification dispatch worker has database/API/UI or integration evidence, tests, audit logging where applicable, and no ownership-boundary violation.","Training programs, requirements, assignments, evidence, signoffs, evaluations, qualifications, publication to StaffArr."
TrainArr,rule-pack impact worker,M12,"rule-pack impact worker has database/API/UI or integration evidence, tests, audit logging where applicable, and no ownership-boundary violation.","Training programs, requirements, assignments, evidence, signoffs, evaluations, qualifications, publication to StaffArr."
TrainArr,evidence retention worker,M12,"evidence retention worker has database/API/UI or integration evidence, tests, audit logging where applicable, and no ownership-boundary violation.","Training programs, requirements, assignments, evidence, signoffs, evaluations, qualifications, publication to StaffArr."
TrainArr,orphan reference detection worker,M12,"orphan reference detection worker has database/API/UI or integration evidence, tests, audit logging where applicable, and no ownership-boundary violation.","Training programs, requirements, assignments, evidence, signoffs, evaluations, qualifications, publication to StaffArr."
TrainArr,API surface /api/training-definitions,M6,"/api/training-definitions exists, is tenant-scoped where applicable, permission-gated, documented in OpenAPI, and covered by tests.","Training programs, requirements, assignments, evidence, signoffs, evaluations, qualifications, publication to StaffArr."
TrainArr,API surface /api/training-programs,M6,"/api/training-programs exists, is tenant-scoped where applicable, permission-gated, documented in OpenAPI, and covered by tests.","Training programs, requirements, assignments, evidence, signoffs, evaluations, qualifications, publication to StaffArr."
TrainArr,API surface /api/program-versions,M6,"/api/program-versions exists, is tenant-scoped where applicable, permission-gated, documented in OpenAPI, and covered by tests.","Training programs, requirements, assignments, evidence, signoffs, evaluations, qualifications, publication to StaffArr."
TrainArr,API surface /api/training-requirements,M6,"/api/training-requirements exists, is tenant-scoped where applicable, permission-gated, documented in OpenAPI, and covered by tests.","Training programs, requirements, assignments, evidence, signoffs, evaluations, qualifications, publication to StaffArr."
TrainArr,API surface /api/training-assignments,M6,"/api/training-assignments exists, is tenant-scoped where applicable, permission-gated, documented in OpenAPI, and covered by tests.","Training programs, requirements, assignments, evidence, signoffs, evaluations, qualifications, publication to StaffArr."
TrainArr,API surface /api/training-evidence,M6,"/api/training-evidence exists, is tenant-scoped where applicable, permission-gated, documented in OpenAPI, and covered by tests.","Training programs, requirements, assignments, evidence, signoffs, evaluations, qualifications, publication to StaffArr."
TrainArr,API surface /api/signoffs,M6,"/api/signoffs exists, is tenant-scoped where applicable, permission-gated, documented in OpenAPI, and covered by tests.","Training programs, requirements, assignments, evidence, signoffs, evaluations, qualifications, publication to StaffArr."
TrainArr,API surface /api/evaluations,M6,"/api/evaluations exists, is tenant-scoped where applicable, permission-gated, documented in OpenAPI, and covered by tests.","Training programs, requirements, assignments, evidence, signoffs, evaluations, qualifications, publication to StaffArr."
TrainArr,API surface /api/completions,M6,"/api/completions exists, is tenant-scoped where applicable, permission-gated, documented in OpenAPI, and covered by tests.","Training programs, requirements, assignments, evidence, signoffs, evaluations, qualifications, publication to StaffArr."
TrainArr,API surface /api/qualifications,M6,"/api/qualifications exists, is tenant-scoped where applicable, permission-gated, documented in OpenAPI, and covered by tests.","Training programs, requirements, assignments, evidence, signoffs, evaluations, qualifications, publication to StaffArr."
TrainArr,API surface /api/qualification-checks,M6,"/api/qualification-checks exists, is tenant-scoped where applicable, permission-gated, documented in OpenAPI, and covered by tests.","Training programs, requirements, assignments, evidence, signoffs, evaluations, qualifications, publication to StaffArr."
TrainArr,API surface /api/certification-publications,M10,"/api/certification-publications exists, is tenant-scoped where applicable, permission-gated, documented in OpenAPI, and covered by tests.","Training programs, requirements, assignments, evidence, signoffs, evaluations, qualifications, publication to StaffArr."
TrainArr,API surface /health,M1,"/health exists, is tenant-scoped where applicable, permission-gated, documented in OpenAPI, and covered by tests.","Training programs, requirements, assignments, evidence, signoffs, evaluations, qualifications, publication to StaffArr."
MaintainArr,asset registry,M7,"asset registry has database/API/UI or integration evidence, tests, audit logging where applicable, and no ownership-boundary violation.","Assets, inspections, defects, work orders, PM, maintenance evidence, maintenance cost, asset readiness."
MaintainArr,asset creation,M7,"asset creation has database/API/UI or integration evidence, tests, audit logging where applicable, and no ownership-boundary violation.","Assets, inspections, defects, work orders, PM, maintenance evidence, maintenance cost, asset readiness."
MaintainArr,asset classification,M7,"asset classification has database/API/UI or integration evidence, tests, audit logging where applicable, and no ownership-boundary violation.","Assets, inspections, defects, work orders, PM, maintenance evidence, maintenance cost, asset readiness."
MaintainArr,asset lifecycle states,M7,"asset lifecycle states has database/API/UI or integration evidence, tests, audit logging where applicable, and no ownership-boundary violation.","Assets, inspections, defects, work orders, PM, maintenance evidence, maintenance cost, asset readiness."
MaintainArr,asset configuration,M7,"asset configuration has database/API/UI or integration evidence, tests, audit logging where applicable, and no ownership-boundary violation.","Assets, inspections, defects, work orders, PM, maintenance evidence, maintenance cost, asset readiness."
MaintainArr,asset readiness calculation,M7,"asset readiness calculation has database/API/UI or integration evidence, tests, audit logging where applicable, and no ownership-boundary violation.","Assets, inspections, defects, work orders, PM, maintenance evidence, maintenance cost, asset readiness."
MaintainArr,asset readiness gate API,M10,"asset readiness gate API has database/API/UI or integration evidence, tests, audit logging where applicable, and no ownership-boundary violation.","Assets, inspections, defects, work orders, PM, maintenance evidence, maintenance cost, asset readiness."
MaintainArr,meter tracking,M7,"meter tracking has database/API/UI or integration evidence, tests, audit logging where applicable, and no ownership-boundary violation.","Assets, inspections, defects, work orders, PM, maintenance evidence, maintenance cost, asset readiness."
MaintainArr,usage tracking,M7,"usage tracking has database/API/UI or integration evidence, tests, audit logging where applicable, and no ownership-boundary violation.","Assets, inspections, defects, work orders, PM, maintenance evidence, maintenance cost, asset readiness."
MaintainArr,meter correction workflow,M7,"meter correction workflow has database/API/UI or integration evidence, tests, audit logging where applicable, and no ownership-boundary violation.","Assets, inspections, defects, work orders, PM, maintenance evidence, maintenance cost, asset readiness."
MaintainArr,PM forecast from usage,M7,"PM forecast from usage has database/API/UI or integration evidence, tests, audit logging where applicable, and no ownership-boundary violation.","Assets, inspections, defects, work orders, PM, maintenance evidence, maintenance cost, asset readiness."
MaintainArr,inspection template builder,M7,"inspection template builder has database/API/UI or integration evidence, tests, audit logging where applicable, and no ownership-boundary violation.","Assets, inspections, defects, work orders, PM, maintenance evidence, maintenance cost, asset readiness."
MaintainArr,versioned templates,M7,"versioned templates has database/API/UI or integration evidence, tests, audit logging where applicable, and no ownership-boundary violation.","Assets, inspections, defects, work orders, PM, maintenance evidence, maintenance cost, asset readiness."
MaintainArr,dynamic inspections,M7,"dynamic inspections has database/API/UI or integration evidence, tests, audit logging where applicable, and no ownership-boundary violation.","Assets, inspections, defects, work orders, PM, maintenance evidence, maintenance cost, asset readiness."
MaintainArr,inspection runner,M7,"inspection runner has database/API/UI or integration evidence, tests, audit logging where applicable, and no ownership-boundary violation.","Assets, inspections, defects, work orders, PM, maintenance evidence, maintenance cost, asset readiness."
MaintainArr,mobile-first inspections,M7,"mobile-first inspections has database/API/UI or integration evidence, tests, audit logging where applicable, and no ownership-boundary violation.","Assets, inspections, defects, work orders, PM, maintenance evidence, maintenance cost, asset readiness."
MaintainArr,offline inspection capture,M7,"offline inspection capture has database/API/UI or integration evidence, tests, audit logging where applicable, and no ownership-boundary violation.","Assets, inspections, defects, work orders, PM, maintenance evidence, maintenance cost, asset readiness."
MaintainArr,voice-guided inspection readiness,M7,"voice-guided inspection readiness has database/API/UI or integration evidence, tests, audit logging where applicable, and no ownership-boundary violation.","Assets, inspections, defects, work orders, PM, maintenance evidence, maintenance cost, asset readiness."
MaintainArr,TTS prompts,M7,"TTS prompts has database/API/UI or integration evidence, tests, audit logging where applicable, and no ownership-boundary violation.","Assets, inspections, defects, work orders, PM, maintenance evidence, maintenance cost, asset readiness."
MaintainArr,STT constrained answers,M7,"STT constrained answers has database/API/UI or integration evidence, tests, audit logging where applicable, and no ownership-boundary violation.","Assets, inspections, defects, work orders, PM, maintenance evidence, maintenance cost, asset readiness."
MaintainArr,numeric voice normalization,M7,"numeric voice normalization has database/API/UI or integration evidence, tests, audit logging where applicable, and no ownership-boundary violation.","Assets, inspections, defects, work orders, PM, maintenance evidence, maintenance cost, asset readiness."
MaintainArr,inspection history,M7,"inspection history has database/API/UI or integration evidence, tests, audit logging where applicable, and no ownership-boundary violation.","Assets, inspections, defects, work orders, PM, maintenance evidence, maintenance cost, asset readiness."
MaintainArr,inspection analytics,M7,"inspection analytics has database/API/UI or integration evidence, tests, audit logging where applicable, and no ownership-boundary violation.","Assets, inspections, defects, work orders, PM, maintenance evidence, maintenance cost, asset readiness."
MaintainArr,defect capture,M7,"defect capture has database/API/UI or integration evidence, tests, audit logging where applicable, and no ownership-boundary violation.","Assets, inspections, defects, work orders, PM, maintenance evidence, maintenance cost, asset readiness."
MaintainArr,defect lifecycle,M7,"defect lifecycle has database/API/UI or integration evidence, tests, audit logging where applicable, and no ownership-boundary violation.","Assets, inspections, defects, work orders, PM, maintenance evidence, maintenance cost, asset readiness."
MaintainArr,defect severity,M7,"defect severity has database/API/UI or integration evidence, tests, audit logging where applicable, and no ownership-boundary violation.","Assets, inspections, defects, work orders, PM, maintenance evidence, maintenance cost, asset readiness."
MaintainArr,defect intelligence,M7,"defect intelligence has database/API/UI or integration evidence, tests, audit logging where applicable, and no ownership-boundary violation.","Assets, inspections, defects, work orders, PM, maintenance evidence, maintenance cost, asset readiness."
MaintainArr,work-order lifecycle,M7,"work-order lifecycle has database/API/UI or integration evidence, tests, audit logging where applicable, and no ownership-boundary violation.","Assets, inspections, defects, work orders, PM, maintenance evidence, maintenance cost, asset readiness."
MaintainArr,work-order board,M7,"work-order board has database/API/UI or integration evidence, tests, audit logging where applicable, and no ownership-boundary violation.","Assets, inspections, defects, work orders, PM, maintenance evidence, maintenance cost, asset readiness."
MaintainArr,task/job lines,M7,"task/job lines has database/API/UI or integration evidence, tests, audit logging where applicable, and no ownership-boundary violation.","Assets, inspections, defects, work orders, PM, maintenance evidence, maintenance cost, asset readiness."
MaintainArr,labor tracking,M7,"labor tracking has database/API/UI or integration evidence, tests, audit logging where applicable, and no ownership-boundary violation.","Assets, inspections, defects, work orders, PM, maintenance evidence, maintenance cost, asset readiness."
MaintainArr,evidence capture,M7,"evidence capture has database/API/UI or integration evidence, tests, audit logging where applicable, and no ownership-boundary violation.","Assets, inspections, defects, work orders, PM, maintenance evidence, maintenance cost, asset readiness."
MaintainArr,work-order completion,M7,"work-order completion has database/API/UI or integration evidence, tests, audit logging where applicable, and no ownership-boundary violation.","Assets, inspections, defects, work orders, PM, maintenance evidence, maintenance cost, asset readiness."
MaintainArr,repair verification,M7,"repair verification has database/API/UI or integration evidence, tests, audit logging where applicable, and no ownership-boundary violation.","Assets, inspections, defects, work orders, PM, maintenance evidence, maintenance cost, asset readiness."
MaintainArr,PM program builder,M7,"PM program builder has database/API/UI or integration evidence, tests, audit logging where applicable, and no ownership-boundary violation.","Assets, inspections, defects, work orders, PM, maintenance evidence, maintenance cost, asset readiness."
MaintainArr,PM scheduling,M7,"PM scheduling has database/API/UI or integration evidence, tests, audit logging where applicable, and no ownership-boundary violation.","Assets, inspections, defects, work orders, PM, maintenance evidence, maintenance cost, asset readiness."
MaintainArr,PM due-state evaluation,M7,"PM due-state evaluation has database/API/UI or integration evidence, tests, audit logging where applicable, and no ownership-boundary violation.","Assets, inspections, defects, work orders, PM, maintenance evidence, maintenance cost, asset readiness."
MaintainArr,auto WO generation,M7,"auto WO generation has database/API/UI or integration evidence, tests, audit logging where applicable, and no ownership-boundary violation.","Assets, inspections, defects, work orders, PM, maintenance evidence, maintenance cost, asset readiness."
MaintainArr,auto inspection generation,M7,"auto inspection generation has database/API/UI or integration evidence, tests, audit logging where applicable, and no ownership-boundary violation.","Assets, inspections, defects, work orders, PM, maintenance evidence, maintenance cost, asset readiness."
MaintainArr,PM reset rules,M7,"PM reset rules has database/API/UI or integration evidence, tests, audit logging where applicable, and no ownership-boundary violation.","Assets, inspections, defects, work orders, PM, maintenance evidence, maintenance cost, asset readiness."
MaintainArr,downtime tracking,M7,"downtime tracking has database/API/UI or integration evidence, tests, audit logging where applicable, and no ownership-boundary violation.","Assets, inspections, defects, work orders, PM, maintenance evidence, maintenance cost, asset readiness."
MaintainArr,documents and attachments,M7,"documents and attachments has database/API/UI or integration evidence, tests, audit logging where applicable, and no ownership-boundary violation.","Assets, inspections, defects, work orders, PM, maintenance evidence, maintenance cost, asset readiness."
MaintainArr,part-consumption snapshots,M7,"part-consumption snapshots has database/API/UI or integration evidence, tests, audit logging where applicable, and no ownership-boundary violation.","Assets, inspections, defects, work orders, PM, maintenance evidence, maintenance cost, asset readiness."
MaintainArr,SupplyArr parts demand,M10,"SupplyArr parts demand has database/API/UI or integration evidence, tests, audit logging where applicable, and no ownership-boundary violation.","Assets, inspections, defects, work orders, PM, maintenance evidence, maintenance cost, asset readiness."
MaintainArr,part availability read-through,M7,"part availability read-through has database/API/UI or integration evidence, tests, audit logging where applicable, and no ownership-boundary violation.","Assets, inspections, defects, work orders, PM, maintenance evidence, maintenance cost, asset readiness."
MaintainArr,part reservation request,M7,"part reservation request has database/API/UI or integration evidence, tests, audit logging where applicable, and no ownership-boundary violation.","Assets, inspections, defects, work orders, PM, maintenance evidence, maintenance cost, asset readiness."
MaintainArr,purchase request creation through SupplyArr,M10,"purchase request creation through SupplyArr has database/API/UI or integration evidence, tests, audit logging where applicable, and no ownership-boundary violation.","Assets, inspections, defects, work orders, PM, maintenance evidence, maintenance cost, asset readiness."
MaintainArr,received-part status display,M7,"received-part status display has database/API/UI or integration evidence, tests, audit logging where applicable, and no ownership-boundary violation.","Assets, inspections, defects, work orders, PM, maintenance evidence, maintenance cost, asset readiness."
MaintainArr,part cost snapshot,M7,"part cost snapshot has database/API/UI or integration evidence, tests, audit logging where applicable, and no ownership-boundary violation.","Assets, inspections, defects, work orders, PM, maintenance evidence, maintenance cost, asset readiness."
MaintainArr,RoutArr dispatchability summary,M10,"RoutArr dispatchability summary has database/API/UI or integration evidence, tests, audit logging where applicable, and no ownership-boundary violation.","Assets, inspections, defects, work orders, PM, maintenance evidence, maintenance cost, asset readiness."
MaintainArr,Compliance Core maintenance gates,M10,"Compliance Core maintenance gates has database/API/UI or integration evidence, tests, audit logging where applicable, and no ownership-boundary violation.","Assets, inspections, defects, work orders, PM, maintenance evidence, maintenance cost, asset readiness."
MaintainArr,TrainArr qualification checks before assignment,M10,"TrainArr qualification checks before assignment has database/API/UI or integration evidence, tests, audit logging where applicable, and no ownership-boundary violation.","Assets, inspections, defects, work orders, PM, maintenance evidence, maintenance cost, asset readiness."
MaintainArr,StaffArr technician references,M10,"StaffArr technician references has database/API/UI or integration evidence, tests, audit logging where applicable, and no ownership-boundary violation.","Assets, inspections, defects, work orders, PM, maintenance evidence, maintenance cost, asset readiness."
MaintainArr,maintenance reports,M12,"maintenance reports has database/API/UI or integration evidence, tests, audit logging where applicable, and no ownership-boundary violation.","Assets, inspections, defects, work orders, PM, maintenance evidence, maintenance cost, asset readiness."
MaintainArr,compliance reports,M12,"compliance reports has database/API/UI or integration evidence, tests, audit logging where applicable, and no ownership-boundary violation.","Assets, inspections, defects, work orders, PM, maintenance evidence, maintenance cost, asset readiness."
MaintainArr,executive reports,M12,"executive reports has database/API/UI or integration evidence, tests, audit logging where applicable, and no ownership-boundary violation.","Assets, inspections, defects, work orders, PM, maintenance evidence, maintenance cost, asset readiness."
MaintainArr,imports,M12,"imports has database/API/UI or integration evidence, tests, audit logging where applicable, and no ownership-boundary violation.","Assets, inspections, defects, work orders, PM, maintenance evidence, maintenance cost, asset readiness."
MaintainArr,exports,M12,"exports has database/API/UI or integration evidence, tests, audit logging where applicable, and no ownership-boundary violation.","Assets, inspections, defects, work orders, PM, maintenance evidence, maintenance cost, asset readiness."
MaintainArr,audit logging,M12,"audit logging has database/API/UI or integration evidence, tests, audit logging where applicable, and no ownership-boundary violation.","Assets, inspections, defects, work orders, PM, maintenance evidence, maintenance cost, asset readiness."
MaintainArr,PM due-state worker,M12,"PM due-state worker has database/API/UI or integration evidence, tests, audit logging where applicable, and no ownership-boundary violation.","Assets, inspections, defects, work orders, PM, maintenance evidence, maintenance cost, asset readiness."
MaintainArr,defect escalation worker,M12,"defect escalation worker has database/API/UI or integration evidence, tests, audit logging where applicable, and no ownership-boundary violation.","Assets, inspections, defects, work orders, PM, maintenance evidence, maintenance cost, asset readiness."
MaintainArr,asset status rollup worker,M12,"asset status rollup worker has database/API/UI or integration evidence, tests, audit logging where applicable, and no ownership-boundary violation.","Assets, inspections, defects, work orders, PM, maintenance evidence, maintenance cost, asset readiness."
MaintainArr,maintenance history rollup worker,M12,"maintenance history rollup worker has database/API/UI or integration evidence, tests, audit logging where applicable, and no ownership-boundary violation.","Assets, inspections, defects, work orders, PM, maintenance evidence, maintenance cost, asset readiness."
MaintainArr,SupplyArr demand event publisher,M10,"SupplyArr demand event publisher has database/API/UI or integration evidence, tests, audit logging where applicable, and no ownership-boundary violation.","Assets, inspections, defects, work orders, PM, maintenance evidence, maintenance cost, asset readiness."
MaintainArr,API surface /api/assets,M7,"/api/assets exists, is tenant-scoped where applicable, permission-gated, documented in OpenAPI, and covered by tests.","Assets, inspections, defects, work orders, PM, maintenance evidence, maintenance cost, asset readiness."
MaintainArr,API surface /api/asset-classes,M7,"/api/asset-classes exists, is tenant-scoped where applicable, permission-gated, documented in OpenAPI, and covered by tests.","Assets, inspections, defects, work orders, PM, maintenance evidence, maintenance cost, asset readiness."
MaintainArr,API surface /api/asset-types,M7,"/api/asset-types exists, is tenant-scoped where applicable, permission-gated, documented in OpenAPI, and covered by tests.","Assets, inspections, defects, work orders, PM, maintenance evidence, maintenance cost, asset readiness."
MaintainArr,API surface /api/inspections,M7,"/api/inspections exists, is tenant-scoped where applicable, permission-gated, documented in OpenAPI, and covered by tests.","Assets, inspections, defects, work orders, PM, maintenance evidence, maintenance cost, asset readiness."
MaintainArr,API surface /api/inspection-templates,M7,"/api/inspection-templates exists, is tenant-scoped where applicable, permission-gated, documented in OpenAPI, and covered by tests.","Assets, inspections, defects, work orders, PM, maintenance evidence, maintenance cost, asset readiness."
MaintainArr,API surface /api/defects,M7,"/api/defects exists, is tenant-scoped where applicable, permission-gated, documented in OpenAPI, and covered by tests.","Assets, inspections, defects, work orders, PM, maintenance evidence, maintenance cost, asset readiness."
MaintainArr,API surface /api/work-orders,M7,"/api/work-orders exists, is tenant-scoped where applicable, permission-gated, documented in OpenAPI, and covered by tests.","Assets, inspections, defects, work orders, PM, maintenance evidence, maintenance cost, asset readiness."
